Inhibition of platelet receptors involved in neutrophil-platelet interaction in model cardiopulmonary bypass. We investigated the interactions between neutrophils, platelets, and artificial surfaces, and whether blocking of relevant receptors on platelets reduced unwanted activation responses in model cardiopulmonary bypass. Isolated neutrophils and platelets resuspended in heparin-anticoagulated plasma were recirculated with and without blocking antibodies to CD62P, CD42b, or junctional adhesion molecule C (JAM-C) in polyvinyl chloride tubing using a roller pump. Platelet adhesion to the tubing was inhibited by anti-CD42b and anti-CD62P, and adhesion of neutrophils by anti-JAM-C. Formation of platelet-neutrophil and platelet aggregates was reduced by anti-CD62P. Anti-JAM-C decreased platelet-neutrophil aggregation at low concentrations and platelet macroaggregates at high concentrations. Anti-CD62P increased neutrophil CD11b expression but not degranulation. Anti-JAM-C substantially increased neutrophil degranulation and slightly increased CD11b expression. Platelet activation increased when CD62P was blocked and decreased with anti-CD42b antibody. High-dose anti-JAM-C reduced platelet activation. In conclusion, inhibiting platelet and neutrophil-platelet interactions had useful effects but no single blocking antibody seemed capable of inducing only beneficial effects.
17651117	T18	GENE	14	32	platelet receptors
17651117	T5	GENE	465	470	CD62P
17651117	T6	GENE	472	477	CD42b
17651117	T7	GENE	482	512	junctional adhesion molecule C
17651117	T8	GENE	514	519	JAM-C
17651117	T1	CHEMICAL	524	542	polyvinyl chloride
17651117	T9	GENE	625	630	CD42b
17651117	T10	GENE	640	645	CD62P
17651117	T11	GENE	683	688	JAM-C
17651117	T12	GENE	767	772	CD62P
17651117	T13	GENE	779	784	JAM-C
17651117	T14	GENE	907	912	CD62P
17651117	T15	GENE	934	939	CD11b
17651117	T16	GENE	979	984	JAM-C
17651117	T17	GENE	1057	1062	CD11b
17651117	T2	GENE	1110	1115	CD62P
17651117	T3	GENE	1152	1157	CD42b
17651117	T4	GENE	1183	1188	JAM-C

Protein kinase C potentiates homologous desensitization of the beta2-adrenoceptor in bovine tracheal smooth muscle. Preincubation (30 min) of bovine tracheal smooth muscle with various concentrations (0.1, 1 and 10 microM) of fenoterol decreased isoprenaline-induced maximal relaxation (E(max)) of methacholine-contracted preparations in a concentration dependent fashion, indicating desensitization of the beta(2)-adrenoceptor. Preincubation with 1 microM of the protein kinase C (PKC) activator phorbol 12-myristate 13-acetate (PMA) caused a small but significant decrease in isoprenaline-induced E(max), indicating activated PKC-mediated heterologous beta(2)-adrenoceptor desensitization. To investigate the capacity of activated PKC to regulate homologous desensitization, we incubated the smooth muscle strips with the combination of both 1 microM PMA and 1 microM fenoterol. This combined treatment synergistically decreased the isoprenaline-induced maximal relaxation, as compared to the individual effects of PMA and fenoterol alone, indicating a common pathway for heterologous and homologous desensitization. Moreover, the specific PKC-inhibitor 2-[1-(3-dimethylaminopropyl)-1H-indol-3-yl]-3-(1H-indol-3-yl) maleimide (GF 109203X) markedly increased the potency and E(max) of isoprenaline for all conditions used, including control conditions, and the synergistic effects of PMA and fenoterol were completely prevented. In conclusion, the present study demonstrates that homologous desensitization of the beta(2)-adrenergic receptor can be enhanced by PKC activation. For the first time we have provided evidence that this concept is functionally operative in airway smooth muscle, and it may explain the reduced bronchodilator response to beta(2)-adrenoceptor agonists in patients with asthma during a severe exacerbation.
16324695	T26	GENE	0	16	Protein kinase C
16324695	T27	GENE	63	81	beta2-adrenoceptor
16324695	T2	CHEMICAL	226	235	fenoterol
16324695	T7	CHEMICAL	246	258	isoprenaline
16324695	T8	CHEMICAL	298	310	methacholine
16324695	T20	GENE	407	427	beta(2)-adrenoceptor
16324695	T21	GENE	464	480	protein kinase C
16324695	T22	GENE	482	485	PKC
16324695	T9	CHEMICAL	497	528	phorbol 12-myristate 13-acetate
16324695	T10	CHEMICAL	530	533	PMA
16324695	T11	CHEMICAL	578	590	isoprenaline
16324695	T23	GENE	628	631	PKC
16324695	T24	GENE	654	674	beta(2)-adrenoceptor
16324695	T25	GENE	733	736	PKC
16324695	T12	CHEMICAL	870	879	fenoterol
16324695	T13	CHEMICAL	935	947	isoprenaline
16324695	T14	CHEMICAL	1017	1020	PMA
16324695	T15	CHEMICAL	1025	1034	fenoterol
16324695	T16	GENE	1142	1145	PKC
16324695	T1	CHEMICAL	1156	1227	2-[1-(3-dimethylaminopropyl)-1H-indol-3-yl]-3-(1H-indol-3-yl) maleimide
16324695	T3	CHEMICAL	1229	1239	GF 109203X
16324695	T4	CHEMICAL	1286	1298	isoprenaline
16324695	T5	CHEMICAL	1385	1388	PMA
16324695	T6	CHEMICAL	1393	1402	fenoterol
16324695	T17	GENE	1515	1542	beta(2)-adrenergic receptor
16324695	T18	GENE	1562	1565	PKC
16324695	T19	GENE	1750	1770	beta(2)-adrenoceptor

Interaction of rofecoxib and celecoxib with warfarin. The interaction of celecoxib and rofecoxib with warfarin was studied. Patients stable on warfarin therapy and concurrently taking a cyclooxygenase-2 (COX-2) inhibitor comparator (traditional nonsteroidal antiinflammatory medications, salsalate, or acetaminophen) randomly received celecoxib 200 mg/day or rofecoxib 25 mg/day for three weeks. After a one-week washout period, the patients were crossed over to treatment with the opposite COX-2 inhibitor for three more weeks. The International Normalized Ratio (INR) was measured at baseline and at weeks 1, 2, and 3 of therapy with each COX-2 inhibitor by testing blood samples obtained by finger stick. Data for 16 patients were analyzed. The INR increased by 13%, 6%, and 5% on average in patients taking celecoxib at weeks 1, 2, and 3, respectively, and by 5%, 9%, and 5% in patients taking rofecoxib. Changes in the INR were statistically significant at week 1 for celecoxib and at week 2 for rofecoxib. Of the 12 subjects who had a clinically significant > or = 15% change in the INR while receiving either COX-2 inhibitor, 4 showed this change for both agents. Adverse drug reactions were similar for each COX-2 inhibitor, but the rate of edema requiring medical intervention was higher in the rofecoxib group. Significant increases in the INR were observed in patients who were stable on warfarin therapy after the addition of therapy with rofecoxib or celecoxib.
12901032	T17	CHEMICAL	15	24	rofecoxib
12901032	T18	CHEMICAL	29	38	celecoxib
12901032	T19	CHEMICAL	44	52	warfarin
12901032	T5	CHEMICAL	73	82	celecoxib
12901032	T10	CHEMICAL	87	96	rofecoxib
12901032	T11	CHEMICAL	102	110	warfarin
12901032	T14	CHEMICAL	143	151	warfarin
12901032	T22	GENE	186	202	cyclooxygenase-2
12901032	T23	GENE	204	209	COX-2
12901032	T6	CHEMICAL	288	297	salsalate
12901032	T7	CHEMICAL	302	315	acetaminophen
12901032	T8	CHEMICAL	335	344	celecoxib
12901032	T9	CHEMICAL	359	368	rofecoxib
12901032	T24	GENE	491	496	COX-2
12901032	T25	GENE	641	646	COX-2
12901032	T12	CHEMICAL	811	820	celecoxib
12901032	T13	CHEMICAL	898	907	rofecoxib
12901032	T15	CHEMICAL	973	982	celecoxib
12901032	T16	CHEMICAL	1001	1010	rofecoxib
